,ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0,0x20c27,CUS_0xf64,June,,32,478-73-8323,Doctor,56125.5,4875.125,8,3,18,2,"Credit-Builder Loan, and Mortgage Loan",30,14,17.89,4.0,Standard,370.22,32.014181590395296,28 Years and 10 Months,Yes,81.82285657517096,182.06551022025016,High_spent_Medium_value_payments,473.62413320457887,Standard
1,0xc518,CUS_0x697f,March,Philh,39,367-66-5050,Entrepreneur,62148.0,,9,7,24,5,"Mortgage Loan, Personal Loan, Payday Loan, Personal Loan, and Home Equity Loan",56,25,_,8.0,Bad,2373.61,33.95171994557009,16 Years and 6 Months,Yes,258.84886110407353,195.3722153038279,High_spent_Small_value_payments,300.6789235920986,Poor
2,0x22663,CUS_0x7846,February,Paramadithak,45,282-14-9365,Accountant,88380.16,7471.013333333332,7,7,19,3,"Student Loan, Home Equity Loan, and Credit-Builder Loan",11,19,8.7,5.0,_,124.29,41.01676336113514,,Yes,129.72369861636398,180.79874191787297,High_spent_Medium_value_payments,686.5788927990964,Standard
3,0x1ff7,CUS_0x3ef5,June,Robinsonl,32,259-09-9023,_______,7821.24,468.77,8,10,29,6,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Auto Loan, and Payday Loan",62,17,19.34,7.0,Bad,2924.76,34.20302637523717,10 Years and 2 Months,Yes,19.727923492291534,39.93770264234067,Low_spent_Medium_value_payments,267.2113738653678,Standard
4,0x9a07,CUS_0x8fdf,June,Yeeo,18,312-56-4208,Scientist,107871.9,,3,4,8,3,"Student Loan, Mortgage Loan, and Credit-Builder Loan",25,20,11.27,2.0,Standard,1005.83,27.237915982437706,32 Years and 8 Months,No,227.24178904981625,73.48570828760295,High_spent_Large_value_payments,820.9050026625811,Standard
5,0x83ca,CUS_0xb9d2,January,arbarat,28,000-80-0683,Manager,79950.34,6393.528333333333,3,1,10,4,"Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Auto Loan",15,3,2.27,1.0,Good,515.89,29.735397090902676,24 Years and 3 Months,No,261.4747996593964,86.85770355819382,High_spent_Large_value_payments,531.0203301157431,Good
6,0x45c7,CUS_0x3969,February,Deepa Seetharamand,30,316-61-8679,Architect,16154.25,1273.1875,8,8,29,5,"Credit-Builder Loan, Auto Loan, Credit-Builder Loan, Home Equity Loan, and Auto Loan",31,20,4.8,10.0,Bad,1426.76,35.36848490402617,15 Years and 11 Months,Yes,33.767386483048256,116.13440298517165,Low_spent_Large_value_payments,247.4169605317801,Poor
7,0x1f098,CUS_0x29e1,July,Andrea Shalal-Esan,37,612-08-5420,Scientist,62683.59,5047.6325,8,8,32,9,"Not Specified, Student Loan, Student Loan, Debt Consolidation Loan, Credit-Builder Loan, Auto Loan, Debt Consolidation Loan, Payday Loan, and Mortgage Loan",24,25,6.44,8.0,Bad,2142.89,21.56374331927921,20 Years and 1 Months,Yes,346.06224076142684,407.71832183506035,Low_spent_Large_value_payments,20.982687403512784,Standard
8,0x134db,CUS_0x88e5,June,Poornima Guptav,25,680-32-0710,Accountant,112882.68,9684.89,5,1,10,4,"Credit-Builder Loan, Home Equity Loan, Not Specified, and Debt Consolidation Loan",15,10,0.2400000000000002,2.0,Good,722.9,24.732703014745308,,No,353.61612403491654,__10000__,Low_spent_Medium_value_payments,,Good
9,0x8d80,CUS_0x42b1,March,,21,468-45-3404,Entrepreneur,88463.25,7609.9375,5,3,6,6,"Debt Consolidation Loan, Personal Loan, Student Loan, Payday Loan, Auto Loan, and Debt Consolidation Loan",12,11,11.66,5.0,Standard,827.79,30.591893528118376,6 Years and 9 Months,Yes,243.35816926767924,138.89541916126694,!@9#%8,618.7401615710538,Standard
10,0xe183,CUS_0x798f,June,Gardnero,40,001-41-8258,Journalist,21139.23,1646.6025,5,5,7,4,"Personal Loan, Not Specified, Student Loan, and Payday Loan",23,10,2.75,4.0,Standard,298.5,27.816950822740505,31 Years and 8 Months,No,66.90259343363314,__10000__,Low_spent_Large_value_payments,248.78211405215802,Poor
11,0x227e5,CUS_0x6cae,April,Bose Lisaa,32,862-58-7973,Entrepreneur,27339.81,2518.3175,3,5,9,1,Not Specified,16,14,3.82,2.0,_,1342.51,31.17546346244712,23 Years and 6 Months,No,14.668753530353376,90.17667645460736,Low_spent_Small_value_payments,436.9863200150392,Poor
